emg1,emg2,emg3,emg4,emg5,output
52,52,52,52,52,ring_close
52,52,50,50,50,ring_close
50,50,50,50,50,ring_close
50,50,50,50,48,ring_close
48,48,48,48,48,ring_close
48,48,48,48,48,ring_close
50,50,50,50,50,ring_close
50,50,50,50,50,ring_close
50,48,48,48,48,ring_close
46,46,46,46,46,ring_close
46,46,44,44,44,ring_close
42,42,42,40,42,ring_close
42,42,42,42,42,ring_close
42,42,42,42,42,ring_close
44,44,46,46,48,ring_close
48,48,48,50,50,ring_close
50,50,50,50,50,ring_close
50,50,50,50,50,ring_close
50,50,50,50,50,ring_close
50,50,48,48,48,ring_close
48,48,48,48,48,ring_close
48,48,48,48,48,ring_close
48,48,48,48,48,ring_close
50,50,50,50,50,ring_close
50,48,48,48,48,ring_close
48,50,50,50,50,ring_close
50,50,50,50,50,ring_close
50,50,50,50,50,ring_close
50,50,48,48,48,ring_close
48,48,48,46,46,ring_close
46,46,44,44,44,ring_close
44,44,44,42,42,ring_close
42,40,40,40,40,ring_close
40,40,40,40,40,ring_close
40,38,38,38,38,ring_close
38,38,38,38,38,ring_close
38,38,38,38,38,ring_close
38,36,36,36,36,ring_close
36,36,36,36,36,ring_close
34,34,34,32,32,ring_close
30,30,28,28,28,ring_close
28,26,28,26,26,ring_close
26,28,26,26,26,ring_close
26,26,26,26,26,ring_close
26,28,28,28,28,ring_close
28,28,28,28,28,ring_close
28,28,28,28,28,ring_close
28,28,28,28,28,ring_close
28,28,28,26,26,ring_close
26,26,26,26,26,ring_close
26,26,26,26,26,ring_close
28,28,30,30,30,ring_close
32,32,32,32,32,ring_close
34,34,36,36,38,ring_close
40,40,40,42,42,ring_close
44,44,44,44,46,ring_close
46,46,46,46,48,ring_close
48,48,48,48,48,ring_close
48,48,48,48,48,ring_close
48,48,48,48,48,ring_close
48,48,48,48,48,ring_close
48,48,48,48,48,ring_close
48,48,48,48,48,ring_close
46,46,46,46,46,ring_close
46,46,46,46,46,ring_close
44,44,44,44,44,ring_close
44,44,44,44,44,ring_close
44,44,42,42,42,ring_close
42,42,42,42,42,ring_close
42,40,40,40,40,ring_close
40,38,38,38,38,ring_close
38,38,38,38,38,ring_close
38,38,36,38,36,ring_close
36,36,36,36,36,ring_close
36,36,36,36,36,ring_close
36,36,36,36,36,ring_close
36,34,36,34,34,ring_close
34,34,34,34,34,ring_close
34,34,32,32,32,ring_close
30,30,30,30,30,ring_close
30,30,30,30,30,ring_close
30,30,30,30,30,ring_close
28,28,28,28,28,ring_close
26,26,26,26,26,ring_close
26,26,26,26,26,ring_close
26,26,28,28,28,ring_close
28,28,28,28,28,ring_close
28,28,28,28,28,ring_close
30,30,30,30,30,ring_close
30,30,30,30,30,ring_close
30,30,30,30,30,ring_close
30,30,30,30,32,ring_close
32,32,34,34,34,ring_close
34,34,34,36,36,ring_close
36,36,36,36,36,ring_close
36,36,36,36,36,ring_close
36,36,36,36,36,ring_close
36,36,38,38,38,ring_close
38,38,38,38,38,ring_close
38,38,40,40,40,ring_close
40,40,40,40,40,ring_close
40,40,40,40,40,ring_close
40,40,38,38,38,ring_close
36,36,36,34,34,ring_close
34,34,34,32,32,ring_close
30,30,30,28,28,ring_close
26,26,26,24,24,ring_close
24,24,24,24,24,ring_close
26,26,26,26,26,ring_close
28,28,26,26,28,ring_close
28,28,28,30,30,ring_close
30,30,30,30,30,ring_close
30,32,32,32,32,ring_close
32,32,32,32,32,ring_close
32,32,32,32,32,ring_close
32,32,34,34,34,ring_close
36,36,38,38,38,ring_close
36,38,38,38,38,ring_close
38,38,38,38,38,ring_close
38,38,38,38,38,ring_close
38,38,38,38,38,ring_close
38,38,40,40,40,ring_close
40,40,40,40,40,ring_close
40,40,38,38,38,ring_close
38,38,38,38,38,ring_close
38,38,36,36,36,ring_close
36,38,38,38,38,ring_close
40,40,40,42,42,ring_close
42,42,42,42,44,ring_close
44,44,46,46,48,ring_close
48,48,50,50,50,ring_close
50,50,50,50,50,ring_close
50,52,50,50,50,ring_close
50,50,50,50,50,ring_close
48,48,48,48,48,ring_close
48,48,48,46,46,ring_close
46,46,44,44,44,ring_close
44,44,44,42,42,ring_close
42,42,42,42,42,ring_close
40,40,40,40,40,ring_close
40,40,40,38,38,ring_close
38,38,36,34,34,ring_close
34,34,34,34,32,ring_close
32,32,30,30,30,ring_close
28,28,28,28,26,ring_close
26,26,26,26,26,ring_close
26,26,26,26,26,ring_close
26,26,26,26,26,ring_close
26,26,26,26,26,ring_close
26,26,26,26,26,ring_close
26,28,28,28,28,ring_close
28,28,28,28,28,ring_close
26,26,26,24,24,ring_close
24,24,24,24,24,ring_close
24,24,24,22,22,ring_close
22,20,20,20,20,ring_close
20,20,20,20,18,ring_close
18,18,18,18,18,ring_close
18,20,20,20,20,ring_close
20,18,18,18,18,ring_close
18,18,18,18,18,ring_close
18,18,18,18,18,ring_close
18,18,18,18,18,ring_close
18,18,18,18,18,ring_close
18,18,18,18,18,ring_close
18,18,20,20,20,ring_close
20,20,20,20,20,ring_close
20,20,20,20,20,ring_close
20,20,20,20,20,ring_close
20,20,20,20,20,ring_close
20,20,20,20,20,ring_close
20,20,20,20,20,ring_close
20,20,20,20,20,ring_close
20,20,20,18,18,ring_close
18,18,18,18,18,ring_close
18,18,18,18,18,ring_close
18,18,18,18,18,ring_close
18,18,18,18,18,ring_close
18,18,18,20,18,ring_close
18,18,18,18,18,ring_close
18,18,18,18,18,ring_close
18,18,18,18,18,ring_close
18,18,20,20,20,ring_close
20,20,20,20,20,ring_close
20,20,20,20,20,ring_close
20,22,22,22,22,ring_close
22,22,22,22,22,ring_close
22,22,22,22,22,ring_close
22,22,24,22,24,ring_close
24,24,24,24,24,ring_close
24,24,24,24,24,ring_close
24,24,24,22,22,ring_close
24,22,24,24,24,ring_close
24,24,24,24,24,ring_close
24,24,24,24,24,ring_close
24,24,24,24,24,ring_close
26,26,24,24,24,ring_close
26,26,26,26,26,ring_close
26,26,26,26,26,ring_close
26,26,26,26,26,ring_close
26,26,26,26,26,ring_close
26,26,26,26,26,ring_close
26,26,26,26,24,ring_close
24,24,24,24,24,ring_close
24,22,22,22,22,ring_close
22,22,22,22,22,ring_close
20,20,20,20,20,ring_close
20,20,20,20,20,ring_close
20,20,18,20,20,ring_close
20,20,20,20,18,ring_close
18,18,18,18,18,ring_close
18,18,18,18,18,ring_close
18,18,18,18,18,ring_close
18,18,18,18,18,ring_close
18,20,18,18,18,ring_close
20,20,20,20,20,ring_close
22,22,22,22,22,ring_close
24,24,24,24,24,ring_close
24,24,24,24,26,ring_close
26,26,26,26,26,ring_close
26,28,28,28,28,ring_close
26,28,26,26,26,ring_close
26,26,26,26,28,ring_close
28,26,28,28,28,ring_close
28,28,28,28,28,ring_close
28,28,28,28,28,ring_close
28,28,28,28,28,ring_close
28,28,30,30,30,ring_close
32,32,32,32,32,ring_close
32,32,34,34,34,ring_close
36,36,36,36,38,ring_close
38,38,38,38,38,ring_close
40,40,40,40,40,ring_close
40,40,40,40,40,ring_close
40,40,40,40,40,ring_close
40,40,40,42,42,ring_close
42,42,42,40,42,ring_close
42,42,42,42,42,ring_close
42,42,42,42,42,ring_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,16,18,16,18,pinky_close
16,18,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,12,12,pinky_close
12,14,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,12,12,12,pinky_close
12,12,12,12,12,pinky_close
14,14,14,12,12,pinky_close
12,12,14,14,14,pinky_close
14,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,14,14,14,pinky_close
14,14,14,12,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,12,14,pinky_close
14,14,14,14,14,pinky_close
14,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,12,pinky_close
12,12,12,12,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,12,12,12,pinky_close
12,12,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
6,8,6,6,6,pinky_close
6,6,6,6,6,pinky_close
6,6,6,6,6,pinky_close
6,6,6,6,6,pinky_close
6,6,6,6,6,pinky_close
6,6,6,6,6,pinky_close
6,6,6,6,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,6,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,6,8,pinky_close
6,6,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,8,8,pinky_close
8,8,8,8,8,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,8,8,8,pinky_close
8,8,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,12,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,10,10,10,pinky_close
10,10,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,14,14,14,14,pinky_close
12,12,12,12,14,pinky_close
14,14,14,14,14,pinky_close
14,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,14,12,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,12,12,12,pinky_close
12,12,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
14,14,14,14,14,pinky_close
14,14,16,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
18,16,18,16,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,20,20,20,pinky_close
22,22,22,22,22,pinky_close
22,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,20,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,24,24,24,pinky_close
24,24,24,22,22,pinky_close
22,22,22,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,20,18,18,pinky_close
18,18,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,14,pinky_close
14,14,14,14,16,pinky_close
16,16,16,16,16,pinky_close
16,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,20,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,18,18,18,18,pinky_close
18,20,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,16,16,pinky_close
16,16,16,16,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,16,16,16,pinky_close
16,16,16,16,14,pinky_close
14,14,14,14,14,pinky_close
16,14,14,14,14,pinky_close
16,16,16,16,16,pinky_close
16,16,16,14,14,pinky_close
14,14,14,14,16,pinky_close
14,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,16,16,pinky_close
16,16,16,18,18,pinky_close
18,18,18,18,20,pinky_close
20,20,20,20,20,pinky_close
20,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,28,28,pinky_close
28,28,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,28,28,28,pinky_close
28,28,28,28,28,pinky_close
28,28,28,28,28,pinky_close
28,28,28,28,28,pinky_close
28,28,28,28,28,pinky_close
28,28,28,28,28,pinky_close
28,28,28,28,28,pinky_close
28,28,28,28,28,pinky_close
28,26,26,26,26,pinky_close
28,28,26,26,26,pinky_close
26,26,26,26,26,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
22,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
24,24,24,26,26,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
28,28,28,28,28,pinky_close
28,28,28,28,30,pinky_close
30,30,30,30,32,pinky_close
32,32,32,30,30,pinky_close
30,30,30,30,30,pinky_close
30,30,30,30,30,pinky_close
30,30,30,28,28,pinky_close
28,28,28,28,28,pinky_close
28,28,28,28,28,pinky_close
28,28,28,28,28,pinky_close
28,28,28,28,28,pinky_close
28,28,28,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,24,24,24,pinky_close
24,24,24,24,24,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,26,26,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
20,22,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,20,20,20,pinky_close
20,20,20,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,18,pinky_close
18,18,18,18,20,pinky_close
20,20,20,20,20,pinky_close
20,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,22,22,22,pinky_close
22,22,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,26,26,26,pinky_close
26,26,26,26,26,pinky_close
26,26,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close
24,24,24,24,24,pinky_close